"model","examGroup","costTime","chunkLength","escapeCount","input_tokens","output_tokens","reasoning_tokens"
"deepseek-v3-241226","full",77112,,0,17060,2458,1901
"deepseek-v3-241226","full",273380,,0,17060,8932,7981
"deepseek-v3-241226","full",167996,,0,16183,5642,4753
"deepseek-v3-241226","full",47822,,0,5753,1607,1116
"deepseek-v3-241226","full",56980,,0,19967,1856,940
"doubao-1-5-pro-32k-250115","full",101177,,0,16709,3097,2300
"doubao-1-5-pro-32k-250115","full",76662,,0,16709,2471,1456
"doubao-1-5-pro-32k-250115","full",134611,,0,21737,4281,3232
"doubao-1-5-pro-32k-250115","full",63730,,0,51151,1583,846
"doubao-1-5-pro-32k-250115","full",94748,,0,22012,2866,1732
"doubao-1-5-pro-32k-250115","full",152996,,0,21297,4714,3589
"doubao-1-5-pro-32k-250115","full",112664,,0,5531,3491,3084
"doubao-1-5-pro-32k-250115","full",75951,,0,16183,2098,1490
"doubao-1-5-pro-32k-250115","full",95777,,0,16183,3171,2073
"doubao-1-5-pro-32k-250115","full",236065,,0,51151,6870,6228
"doubao-1-5-pro-32k-250115","full",215256,,0,51151,6259,5242
"doubao-1-5-pro-32k-250115","full",165499,,0,23488,5305,4332
"doubao-1-5-pro-32k-250115","full",61103,,0,17060,1843,1258
"doubao-1-5-pro-32k-250115","full",218893,,0,5070,7179,6004
"doubao-1-5-pro-32k-250115","full",84566,,0,16709,2697,1721
"doubao-1-5-pro-32k-250115","full",162363,,0,5070,5268,4731
"doubao-1-5-pro-32k-250115","full",151588,,0,16709,5079,3943
"doubao-1-5-pro-32k-250115","full",48446,,0,21737,1461,780
"doubao-1-5-pro-32k-250115","full",145357,,0,16709,4720,3717
"doubao-1-5-pro-32k-250115","full",119014,,0,5531,3803,3514
"doubao-1-5-pro-32k-250115","full",55678,,0,17060,1780,951
"doubao-1-5-pro-32k-250115","full",46701,,0,21297,1300,738
"doubao-1-5-pro-32k-250115","full",81069,,0,16183,2635,1934
"doubao-1-5-pro-32k-250115","full",226046,,0,16183,6956,6150
"doubao-1-5-pro-32k-250115","full",128990,,0,16183,4291,3613
"doubao-1-5-pro-32k-250115","full",116109,,0,5070,3542,3125
"doubao-1-5-pro-32k-250115","full",173299,,0,51151,5135,4013
