"model","examGroup","costTime","chunkLength","escapeCount","input_tokens","output_tokens","reasoning_tokens"
"deepseek-v3-241226","diff",5721,2,0,4566,151,0
"deepseek-v3-241226","diff",15551,5,0,14506,464,0
"deepseek-v3-241226","diff",7193,3,0,8616,187,0
"deepseek-v3-241226","diff",15648,5,0,14506,452,0
"deepseek-v3-241226","diff",192713,21,0,80042,6424,0
"deepseek-v3-241226","diff",364362,21,0,71967,12421,0
"deepseek-v3-241226","diff",170917,21,0,79190,5643,0
"deepseek-v3-241226","diff",93844,7,0,26094,3206,0
"deepseek-v3-241226","diff",262751,21,0,68204,8460,0
"deepseek-v3-241226","diff",7340,3,0,8616,198,0
"deepseek-v3-241226","diff",74325,7,0,25369,2508,0
"doubao-1-5-pro-32k-250115","diff",602857,21,0,99680,32936,0
"doubao-1-5-pro-32k-250115","diff",71515,5,0,16721,3757,0
"doubao-1-5-pro-32k-250115","diff",71486,5,0,16705,3751,0
"doubao-1-5-pro-32k-250115","diff",18306,2,0,6785,906,0
"doubao-1-5-pro-32k-250115","diff",17414,2,0,6785,906,0
"doubao-1-5-pro-32k-250115","diff",806230,53,0,200604,44813,0
"doubao-1-5-pro-32k-250115","diff",110404,7,0,26777,4976,0
"doubao-1-5-pro-32k-250115","diff",773978,53,0,194770,36658,0
"doubao-1-5-pro-32k-250115","diff",839679,53,0,198918,43091,0
"doubao-1-5-pro-32k-250115","diff",160263,11,0,40617,8387,0
"doubao-1-5-pro-32k-250115","diff",17137,2,0,6785,906,0
"doubao-1-5-pro-32k-250115","diff",168750,11,0,43243,8876,0
"doubao-1-5-pro-32k-250115","diff",5935,1,0,2152,321,0
"doubao-1-5-pro-32k-250115","diff",974402,53,0,206905,52752,0
"doubao-1-5-pro-32k-250115","diff",73382,5,0,16758,4020,0
"doubao-1-5-pro-32k-250115","diff",676419,21,0,104541,38966,0
"doubao-1-5-pro-32k-250115","diff",67027,5,0,16682,3558,0
"doubao-1-5-pro-32k-250115","diff",178200,11,0,42965,8739,0
"doubao-1-5-pro-32k-250115","diff",16970,2,0,6785,906,0
"doubao-1-5-pro-32k-250115","diff",144468,11,0,40731,7973,0
"doubao-1-5-pro-32k-250115","diff",150669,11,0,40949,8196,0
"doubao-1-5-pro-32k-250115","diff",601517,21,0,102215,36274,0
"doubao-1-5-pro-32k-250115","diff",5752,1,0,2152,316,0
"doubao-1-5-pro-32k-250115","diff",6688,1,0,2520,297,0
"doubao-1-5-pro-32k-250115","diff",391784,17,0,71238,23875,0
"doubao-1-5-pro-32k-250115","diff",109019,7,0,27388,5658,0
"doubao-1-5-pro-32k-250115","diff",758915,53,0,194896,36730,0
"doubao-1-5-pro-32k-250115","diff",15919,1,0,2520,782,0
"doubao-1-5-pro-32k-250115","diff",15637,1,0,2520,818,0
"doubao-1-5-pro-32k-250115","diff",15081,1,0,2520,818,0
"doubao-1-5-pro-32k-250115","diff",463420,21,0,95409,27848,0
"doubao-1-5-pro-32k-250115","diff",450990,17,0,73274,26127,0
"doubao-1-5-pro-32k-250115","diff",147000,11,0,40794,8085,0
"doubao-1-5-pro-32k-250115","diff",5477,1,0,2152,321,0
"doubao-1-5-pro-32k-250115","diff",73671,5,0,16631,3783,0
"doubao-1-5-pro-32k-250115","diff",142553,11,0,40057,7509,0
"doubao-1-5-pro-32k-250115","diff",5999,1,0,2152,321,0
"doubao-1-5-pro-32k-250115","diff",6099,1,0,2152,321,0
"doubao-1-5-pro-32k-250115","diff",18465,2,0,6785,906,0
"doubao-1-5-pro-32k-250115","diff",617242,21,0,99883,32966,0
"doubao-1-5-pro-32k-250115","diff",15432,1,0,2520,818,0
"doubao-1-5-pro-32k-250115","diff",100763,7,0,27024,5231,0
"doubao-1-5-pro-32k-250115","diff",98296,7,0,26726,4691,0
"doubao-1-5-pro-32k-250115","diff",171760,11,0,43737,9608,0
"doubao-1-5-pro-32k-250115","diff",433654,17,0,71880,24956,0
"doubao-1-5-pro-32k-250115","diff",332599,17,0,68929,20151,0
"doubao-1-5-pro-32k-250115","diff",108168,7,0,26782,4845,0
"doubao-1-5-pro-32k-250115","diff",414474,17,0,70925,23617,0
"doubao-1-5-pro-32k-250115","diff",168559,11,0,43687,9377,0
"doubao-1-5-pro-32k-250115","diff",177718,11,0,43531,9625,0
